id,Institution Name,Institution GND,Institution Lat,Institution Lng,located at,location geonames ID,location Lat,location Lng,part of,type of location,institution website
360,Smith College Libraries,,42.31707,-72.638796,Northampton,4945819,42.32509,-72.6412,United States,city,https://www.smith.edu/libraries/
361,Vassar College,http://d-nb.info/gnd/126587-8,41.686798,-73.895716,Poughkeepsie,5132143,41.70037,-73.92097,United States,city,https://www.vassar.edu/
362,Cornell University Library,http://d-nb.info/gnd/1080320-8,42.453453,-76.47351,Ithaca,5122432,42.44063,-76.49661,United States,city,https://www.library.cornell.edu/
363,Swarthmore College Peace Collection,http://d-nb.info/gnd/4078095-8,39.906846,-75.355643,Swarthmore,4561628,39.90206,-75.34991,United States,city,https://www.swarthmore.edu/
364,Tufts University,http://d-nb.info/gnd/1029986-5,42.40748,-71.119023,Boston,4930956,42.35843,-71.05977,United States,city,https://www.tufts.edu/
365,Yale Fortunoff Archive,https://d-nb.info/gnd/3004798-5 ,41.3116460769968,-72.9272868340894,New Haven,4839366,41.30815,-72.92816,United States,city,https://fortunoff.library.yale.edu/archive/
366,USC Shoah Foundation,https://d-nb.info/gnd/10358131-5,34.0293451108266,-118.283184041086,Los Angeles,5368361,34.05223,-118.24368,United States,city,https://sfi.usc.edu/
367,United States Holocaust Memorial Museum,https://d-nb.info/gnd/5075370-8 ,38.8867864693148,-77.0326083859531,Washington DC,4138106,38.91706,-77.00025,United States,city,https://www.ushmm.org/
368,Yale DH Lab,,41.3110547200714,-72.9285188201162,New Haven,4839366,41.30815,-72.92816,United States,city,https://dhlab.yale.edu/
369,Facultad de Filosofía y Letras Universidad Nacional Autónoma de México (UNAM),http://d-nb.info/gnd/63989-8,19.333993,-99.186841,Mexico City,3530597,19.42847,-99.12766,Mexico,city,http://www.filos.unam.mx
370,Magyar Tudományos Akadémia Könyvtára,http://d-nb.info/gnd/1087239087,47.501668,19.046267,Budapest,3054643,47.49801,19.03991,Hungary,city,http://konyvtar.mta.hu/
371,University of Szeged,http://d-nb.info/gnd/35684-0,47.680226,16.577958,Lővérek,8063078,47.67492,16.57528,Hungary,city,http://www.u-szeged.hu/english
372,Petőfi Irodalmi Múzeum,http://d-nb.info/gnd/13840-X,47.491431,19.058187,Budapest,3054643,47.49801,19.03991,Hungary,city,https://pim.hu/
373,Eötvös Loránd Tudományegyetem,http://d-nb.info/gnd/35680-3,47.49058,19.058529,Budapest,3054643,47.49801,19.03991,Hungary,city,https://www.elte.hu/
374,Országos Széchényi Könyvtár,http://d-nb.info/gnd/1007496-X,47.495508,19.039232,Budapest,3054643,47.49801,19.03991,Hungary,city,http://oszk.business.site/
375,ELTE Egyetemi Könyvtár,,47.492476,19.056814,Budapest,3054643,47.49801,19.03991,Hungary,city,https://www.konyvtar.elte.hu/
376,Miskolci Egyetem,http://d-nb.info/gnd/5038518-5,48.082082,20.766887,Miskolc,717582,48.1,20.78333,Hungary,city,http://www.uni-miskolc.hu/en
377,Debreceni Egyetem,http://d-nb.info/gnd/10047907-8,47.553531,21.621486,Debrecen,721472,47.53333,21.63333,Hungary,city,https://unideb.hu/
378,MTA BTK Irodalomtudományi Intézet,,47.479933,19.046586,Budapest,3054643,47.49801,19.03991,Hungary,city,https://btk.mta.hu/85-intezetek/83-irodalomtudomanyi-intezet.html
379,Biblioteca Centrală Universitară Lucian Blaga Cluj-Napoca,http://d-nb.info/gnd/5149565-X,46.767043,23.584878,Cluj-Napoca,681290,46.76667,23.6,Romania,city,https://www.bcucluj.ro/
380,Instytut Badań Literackich Polskiej Akademii Nauk,https://d-nb.info/gnd/41849-3,52.2373,21.018,Warsaw,756135,52.22977,21.01178,Poland,city,http://ibl.waw.pl/pl/
381,Institute for Habsburg and Balkan Studies at the Austrian Academy of Sciences,https://d-nb.info/gnd/1202798799,48.21026,16.38064,Vienna,2761369,48.20849,16.37208,Austria,city,https://www.oeaw.ac.at/en/ihb
382,Bergische Universität Wuppertal,https://d-nb.info/gnd/64944-2,51.2447,7.15016,Wuppertal,2805753,51.25627,7.14816,Germany,city,https://www.uni-wuppertal.de/
383,University of Vigo,https://d-nb.info/gnd/5117216-1,42.16977,-8.68341,Pontevedra,3113209,42.431,-8.64435,Spain,city,https://www.uvigo.gal/
384,University of York,https://d-nb.info/gnd/1015387-1,53.9462,-1.0517,York,2633352,53.95763,-1.08271,United Kingdom,city,https://www.york.ac.uk/
385,Collège de France,https://d-nb.info/gnd/36341-8,48.8491,2.3452,Paris,2988507,48.85341,2.3488,France,city,http://www.college-de-france.fr/
386,Institut des textes et manuscrits modernes: Item,https://d-nb.info/gnd/5041115-9,48.8419,2.345216,Paris,2988507,48.85341,2.3488,France,city,http://www.item.ens.fr/
387,Universität Zürich. Institut für Computerlinguistik,https://d-nb.info/gnd/1358093229,47.4133,8.54882,Zürich,6295483,47.37161,8.54501,Switzerland,city,
388,Universität Zürich. Institut für Schweizerische Reformationsgeschichte,https://d-nb.info/gnd/2014292-4,47.3702,8.5445,Zürich,6295483,47.37161,8.54501,Switzerland,city,
389,Stiftung Bruno Kreisky Archiv,https://d-nb.info/gnd/1099300-9,48.1921,16.3547,Vienna,2761369,48.20849,16.37208,Austria,city,http://www.kreisky.org
